시군명,확진시기,확진자수
속초,2020-04-18,0
삼척,2020-04-18,0
홍천,2020-04-18,0
횡성,2020-04-18,0
영월,2020-04-18,0
평창,2020-04-18,0
정선,2020-04-18,0
철원,2020-04-18,0
화천,2020-04-18,0
양구,2020-04-18,0
인제,2020-04-18,0
고성,2020-04-18,0
양양,2020-04-18,0
춘천,2020-04-19,0
원주,2020-04-19,0
강릉,2020-04-19,0
동해,2020-04-19,0
태백,2020-04-19,0
속초,2020-04-19,0
삼척,2020-04-19,0
홍천,2020-04-19,0
횡성,2020-04-19,0
영월,2020-04-19,0
평창,2020-04-19,0
정선,2020-04-19,0
철원,2020-04-19,0
화천,2020-04-19,0
양구,2020-04-19,0
인제,2020-04-19,0
고성,2020-04-19,0
양양,2020-04-19,0
춘천,2020-04-20,0
원주,2020-04-20,0
강릉,2020-04-20,0
동해,2020-04-20,0
태백,2020-04-20,0
속초,2020-04-20,0
삼척,2020-04-20,0
홍천,2020-04-20,0
횡성,2020-04-20,0
영월,2020-04-20,0
평창,2020-04-20,0
정선,2020-04-20,0
철원,2020-04-20,0
화천,2020-04-20,0
양구,2020-04-20,0
인제,2020-04-20,0
고성,2020-04-20,0
양양,2020-04-20,0
춘천,2020-04-21,0
원주,2020-04-21,0
강릉,2020-04-21,0
동해,2020-04-21,0
태백,2020-04-21,0
속초,2020-04-21,0
삼척,2020-04-21,0
홍천,2020-04-21,0
횡성,2020-04-21,0
영월,2020-04-21,0
평창,2020-04-21,0
정선,2020-04-21,0
철원,2020-04-21,0
화천,2020-04-21,0
양구,2020-04-21,0
인제,2020-04-21,0
고성,2020-04-21,0
양양,2020-04-21,0
춘천,2020-04-22,0
원주,2020-04-22,0
강릉,2020-04-22,0
동해,2020-04-22,0
태백,2020-04-22,0
속초,2020-04-22,0
삼척,2020-04-22,0
홍천,2020-04-22,0
횡성,2020-04-22,0
영월,2020-04-22,0
평창,2020-04-22,0
정선,2020-04-22,0
철원,2020-04-22,0
화천,2020-04-22,0
양구,2020-04-22,0
인제,2020-04-22,0
고성,2020-04-22,0
양양,2020-04-22,0
춘천,2020-04-23,0
원주,2020-04-23,0
강릉,2020-04-23,0
동해,2020-04-23,0
태백,2020-04-23,0
속초,2020-04-23,0
삼척,2020-04-23,0
홍천,2020-04-23,0
횡성,2020-04-23,0
영월,2020-04-23,0
평창,2020-04-23,0
정선,2020-04-23,0
철원,2020-04-23,0
화천,2020-04-23,0
양구,2020-04-23,0
인제,2020-04-23,0
고성,2020-04-23,0
양양,2020-04-23,0
춘천,2020-04-24,0
원주,2020-04-24,0
강릉,2020-04-24,0
동해,2020-04-24,0
태백,2020-04-24,0
속초,2020-04-24,0
삼척,2020-04-24,0
홍천,2020-04-24,0
횡성,2020-04-24,0
영월,2020-04-24,0
평창,2020-04-24,0
정선,2020-04-24,0
철원,2020-04-24,0
화천,2020-04-24,0
양구,2020-04-24,0
인제,2020-04-24,0
